box_count,box_mask_accuracy,box_mask_f1,box_mask_iou,dataset,latency_ms,model,normalized1000_box_count,params_M,perturbation,pixel_box_count,round_index,sample,strength
2,0.8229713439941406,0.10107506053268765,0.053227517545291335,zijinshan,865.1191510007266,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,2,3,2024_omap_2024_000059,0.70
1,0.2608795166015625,0.3905510820332159,0.24266137164924678,zijinshan,600.4651590001231,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,4,2024_omap_2024_000066,0.70
1,0.9068107604980469,0.9506192554380674,0.9058859335511311,zijinshan,599.3602490007106,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,5,2024_omap_2024_000017,0.70
1,0.6302947998046875,0.7707844547037009,0.6270539431861036,zijinshan,600.9885379999105,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,6,2024_omap_2024_000033,0.70
1,0.6873512268066406,0.8119089091914693,0.6833726096194708,zijinshan,599.1320980001547,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,7,2024_omap_2024_000011,0.70
1,0.8664512634277344,0.9284158826813015,0.8663957104966894,zijinshan,602.6436980000653,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,8,2024_omap_2024_000054,0.70
1,0.47531890869140625,0.6376984147889809,0.4681037016412208,zijinshan,599.4730990005337,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,9,2024_omap_2024_000012,0.70
1,0.9011955261230469,0.9480088562189245,0.9011566892203892,zijinshan,602.922607000437,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,10,2024_omap_2024_000029,0.70
1,0.577484130859375,0.7261696383540511,0.5700677737149777,zijinshan,601.2972580001588,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,11,2024_omap_2024_000025,0.70
1,0.9080924987792969,0.9516271841853238,0.9077182943224517,zijinshan,602.6369370001703,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,12,2024_omap_2024_000016,0.70
1,0.21662139892578125,0.3302830084074173,0.19780777824653512,zijinshan,603.3233870002732,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,13,2024_omap_2024_000058,0.70
1,0.8961257934570312,0.9447344493334848,0.8952575479572722,zijinshan,604.1124969997327,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,14,2024_omap_2024_000010,0.70
1,0.9301223754882812,0.9637780888878342,0.9300885057076449,zijinshan,600.1141279994044,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,15,2024_omap_2024_000014,0.70
1,0.37435150146484375,0.5352033644690306,0.36537724861378207,zijinshan,636.5884740007459,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,16,2024_omap_2024_000018,0.70
1,0.8704643249511719,0.9305152272266864,0.8700593509281475,zijinshan,599.438489000022,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,17,2024_omap_2024_000047,0.70
1,0.21743011474609375,0.3257542890948531,0.19456779072095734,zijinshan,602.6976679995641,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,18,2024_omap_2024_000001,0.70
1,0.8030357360839844,0.8848292614377773,0.7934473447344734,zijinshan,600.4226479999488,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,19,2024_omap_2024_000045,0.70
1,0.9507408142089844,0.9746595732572447,0.9505716812059086,zijinshan,602.3055869991367,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,20,2024_omap_2024_000026,0.70
1,0.8228721618652344,0.9020683895161103,0.8216070845419444,zijinshan,598.4965090001424,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,21,2024_omap_2024_000003,0.70
1,0.9533538818359375,0.9761041194403189,0.9533236122668661,zijinshan,600.8024780003325,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,22,2024_omap_2024_000015,0.70
2,0.16168212890625,0.24769612071916636,0.14135454680430418,zijinshan,817.9988579995552,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,2,23,2024_omap_2024_000000,0.70
1,0.44805145263671875,0.39159868808342446,0.24347075893440695,zijinshan,612.8461439993771,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,24,2024_omap_2024_000062,0.70
1,0.061248779296875,0.11024014925265206,0.05833553359124183,zijinshan,634.6655360002842,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,25,2024_omap_2024_000035,0.70
1,0.8595123291015625,0.9155959938578598,0.8443310691143339,zijinshan,600.144549000106,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,26,2024_omap_2024_000036,0.70
3,0.7151565551757812,0.1648211529427555,0.08981203832370364,zijinshan,1070.286025000314,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,3,27,2024_omap_2024_000061,0.70
1,0.6860923767089844,0.5540447532285948,0.3831686730731751,zijinshan,601.7656369995166,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,28,2024_omap_2024_000053,0.70
1,0.928619384765625,0.9629273008967029,0.9285051103257236,zijinshan,598.8695690002714,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,29,2024_omap_2024_000038,0.70
