box_count,box_mask_accuracy,box_mask_f1,box_mask_iou,dataset,latency_ms,model,perturbation,round_index,sample,strength
41,0.8615226745605469,0.02935907377202599,0.014898236092265944,zijinshan,759.6538159996271,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,1,2024_omap_2024_000005,0.70
20,0.8232460021972656,0.9022458042806358,0.8219014855956797,zijinshan,1468.857781999759,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,2,2024_omap_2024_000021,0.70
6,0.1666107177734375,0.28166717083371695,0.1639188672024493,zijinshan,638.7646809998841,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,3,2024_omap_2024_000059,0.70
6,0.2437744140625,0.3919913632348611,0.2437744140625,zijinshan,372.3683610005537,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,4,2024_omap_2024_000066,0.70
2,0.9170303344726562,0.9566570747610659,0.9169152841497282,zijinshan,255.0913440009026,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,5,2024_omap_2024_000017,0.70
1,0.6423835754394531,0.7819436594164975,0.6419601732395335,zijinshan,254.92646499878902,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,6,2024_omap_2024_000033,0.70
1,0.6925430297851562,0.8179999367726026,0.6920472868157816,zijinshan,254.57771500077797,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,7,2024_omap_2024_000011,0.70
19,0.8903656005859375,0.9408101228282628,0.8882355686219608,zijinshan,1068.5137509990454,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,8,2024_omap_2024_000054,0.70
38,0.4788703918457031,0.6467617695655209,0.47793637145313844,zijinshan,1940.526635000424,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,9,2024_omap_2024_000012,0.70
1,0.9276275634765625,0.9624529474396678,0.9276234220555528,zijinshan,254.506825000135,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,10,2024_omap_2024_000029,0.70
1,0.5748939514160156,0.7292468943533477,0.5738698501801051,zijinshan,254.3973650008411,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,11,2024_omap_2024_000025,0.70
2,0.9283065795898438,0.9627969768832125,0.9282627946744839,zijinshan,253.90700599928095,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,12,2024_omap_2024_000016,0.70
42,0.7659950256347656,0.28532149639416077,0.16639941294776323,zijinshan,784.9044760005199,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,13,2024_omap_2024_000058,0.70
1,0.9087944030761719,0.9521644922041467,0.9086965321561274,zijinshan,254.61897400055022,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,14,2024_omap_2024_000010,0.70
2,0.9563941955566406,0.9777095711759074,0.9563912011780594,zijinshan,254.73269500071183,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,15,2024_omap_2024_000014,0.70
1,0.930389404296875,0.9639117966973203,0.9303375847970407,zijinshan,255.09462500122027,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,16,2024_omap_2024_000018,0.70
1,0.892181396484375,0.9429933723542866,0.8921357233630879,zijinshan,255.3486150009121,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,17,2024_omap_2024_000047,0.70
1,0.3554954528808594,0.3608810945969972,0.22016773365704606,zijinshan,206.9519130000117,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,18,2024_omap_2024_000001,0.70
22,0.8039474487304688,0.8875252222402163,0.7977935679831292,zijinshan,973.4526960000949,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,19,2024_omap_2024_000045,0.70
1,0.9722671508789062,0.9859295587648979,0.9722495782088573,zijinshan,255.9063739990961,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,20,2024_omap_2024_000026,0.70
1,0.8376693725585938,0.9115746339679413,0.8375168958907666,zijinshan,254.2909250005323,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,21,2024_omap_2024_000003,0.70
2,0.9794578552246094,0.989620777718884,0.9794547986493962,zijinshan,252.8862349990959,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,22,2024_omap_2024_000015,0.70
42,0.8423843383789062,0.00925570688662958,0.0046493700464937,zijinshan,772.2604720001982,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,23,2024_omap_2024_000000,0.70
1,0.18836593627929688,0.3125369556015806,0.18521114085375429,zijinshan,306.5206360006414,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,24,2024_omap_2024_000062,0.70
4,0.049144744873046875,0.08931448592838327,0.04674473390341283,zijinshan,450.9227809994627,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,25,2024_omap_2024_000035,0.70
3,0.12131881713867188,0.1183018369588933,0.06286972017217671,zijinshan,436.7121470004349,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,26,2024_omap_2024_000036,0.70
40,0.25041961669921875,0.39947434369365237,0.24958946588556982,zijinshan,1558.6728569996922,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,27,2024_omap_2024_000061,0.70
6,0.2501640319824219,0.400209933388868,0.2501640319824219,zijinshan,320.7704900014505,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,28,2024_omap_2024_000053,0.70
1,0.9531440734863281,0.9760024069880804,0.9531295909762156,zijinshan,255.12530400010291,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,29,2024_omap_2024_000038,0.70
2,0.9463729858398438,0.9724370235593061,0.9463527256768876,zijinshan,306.31208600061655,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,30,2024_omap_2024_000031,0.70
41,0.9469718933105469,0.066608473779628,0.03445162186566646,zijinshan,758.4111569995002,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,31,2024_omap_2024_000002,0.70
19,0.7073745727539062,0.8055020283975659,0.6743435715650272,zijinshan,1399.0863769995485,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,32,2024_omap_2024_000051,0.70
39,0.8153572082519531,0.47047883687601877,0.3075987754985266,zijinshan,1646.369254000092,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,33,2024_omap_2024_000060,0.70
41,0.6885604858398438,0.13373511873182947,0.07165923769671609,zijinshan,1256.936219999261,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,34,2024_omap_2024_000056,0.70
2,0.5541038513183594,0.7122696894731012,0.5531202330569224,zijinshan,284.56085400102893,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,35,2024_omap_2024_000055,0.70
1,0.9745330810546875,0.987101859758807,0.9745322066873939,zijinshan,254.7214049991453,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,36,2024_omap_2024_000030,0.70
3,0.8768692016601562,0.9342914724263583,0.8766857431023022,zijinshan,360.69383500034746,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,37,2024_omap_2024_000009,0.70
41,0.7057991027832031,0.008204626998109593,0.004119211797215981,zijinshan,942.6516980001907,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,38,2024_omap_2024_000057,0.70
6,0.9371070861816406,0.9675325570449842,0.9371070861816406,zijinshan,308.6543339995842,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,39,2024_omap_2024_000044,0.70
41,0.7703170776367188,0.055559041284979294,0.02857327245446185,zijinshan,1556.6806980004912,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,40,2024_omap_2024_000064,0.70
3,0.5550880432128906,0.7137629674350799,0.5549233534442295,zijinshan,258.2138039997517,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,41,2024_omap_2024_000046,0.70
2,0.9491996765136719,0.9739259149033651,0.9491769932106233,zijinshan,253.7282649991539,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,42,2024_omap_2024_000013,0.70
39,0.5299911499023438,0.1537193488563775,0.08325892857142857,zijinshan,1770.7378279992554,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,43,2024_omap_2024_000065,0.70
3,0.4750709533691406,0.6386759828904977,0.46915794833811686,zijinshan,334.92727499833563,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,44,2024_omap_2024_000050,0.70
2,0.2809181213378906,0.4364684322711605,0.27915549726006966,zijinshan,280.16293499968015,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,45,2024_omap_2024_000023,0.70
42,0.7149124145507812,0.10153883144986775,0.05348480818673455,zijinshan,1351.29504500037,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,46,2024_omap_2024_000063,0.70
2,0.9701728820800781,0.9848480444307504,0.9701483989936204,zijinshan,254.37601500016171,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,47,2024_omap_2024_000028,0.70
1,0.9219207763671875,0.9593210907067334,0.9218223624405112,zijinshan,254.0599050007586,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,48,2024_omap_2024_000007,0.70
2,0.14239883422851562,0.24220258941783604,0.13778754477606217,zijinshan,381.49035700007516,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,49,2024_omap_2024_000043,0.70
1,0.9951820373535156,0.997585201472205,0.9951820373535156,zijinshan,254.99844499972824,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,50,2024_omap_2024_000037,0.70
2,0.6433525085449219,0.7823390410560257,0.6424933273170844,zijinshan,255.6476149984519,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,51,2024_omap_2024_000034,0.70
1,0.8868484497070312,0.9400120534071099,0.8868139080529946,zijinshan,255.65813399953186,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,52,2024_omap_2024_000041,0.70
1,0.5011215209960938,0.6666938521686384,0.5000305843133057,zijinshan,255.1907740016759,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,53,2024_omap_2024_000048,0.70
2,0.9921646118164062,0.9960668972146586,0.9921646118164062,zijinshan,255.34920399877592,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,54,2024_omap_2024_000042,0.70
1,0.9685401916503906,0.9840132592829519,0.9685296272552432,zijinshan,253.23971599937067,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,55,2024_omap_2024_000020,0.70
41,0.09423065185546875,0.16694617333155573,0.09107543428497056,zijinshan,1454.1949769991334,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,56,2024_omap_2024_000006,0.70
2,0.7136001586914062,0.8326340991470977,0.7132588835589233,zijinshan,254.2909950007015,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,57,2024_omap_2024_000032,0.70
1,0.4182472229003906,0.588695692042969,0.41712881390913503,zijinshan,317.1554410000681,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,58,2024_omap_2024_000024,0.70
1,0.496246337890625,0.6624473436669257,0.4952682352581449,zijinshan,254.10196499979065,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,59,2024_omap_2024_000022,0.70
1,0.9952850341796875,0.9976369462309674,0.9952850341796875,zijinshan,253.8275650003925,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,60,2024_omap_2024_000040,0.70
37,0.7251167297363281,0.8406299693242715,0.7250747794768488,zijinshan,1470.9253199998784,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,61,2024_omap_2024_000004,0.70
1,0.8543281555175781,0.9213908267683307,0.854239746550375,zijinshan,304.64143700010027,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,62,2024_omap_2024_000008,0.70
41,0.4547996520996094,0.3336363933065708,0.2002182428651371,zijinshan,2464.160698998967,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,63,2024_omap_2024_000052,0.70
2,0.9152030944824219,0.9557089771561215,0.9151749428559436,zijinshan,255.6007250004768,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,64,2024_omap_2024_000027,0.70
41,0.26824188232421875,0.4230137579633161,0.26824188232421875,zijinshan,1554.7078290001082,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,65,2024_omap_2024_000049,0.70
1,0.92626953125,0.9617173325727505,0.9262577164615302,zijinshan,254.21538499904273,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,66,2024_omap_2024_000039,0.70
1,0.9723968505859375,0.9860041933262671,0.972394744472082,zijinshan,292.56938100115804,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,67,2024_omap_2024_000019,0.70
41,0.8669891357421875,0.08038822660618208,0.04187733567817103,zijinshan,1715.3648889998294,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,1,2024_omap_2024_000005,0.85
2,0.9093704223632812,0.9525343136275548,0.9093704223632812,zijinshan,306.56709499999124,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,2,2024_omap_2024_000021,0.85
41,0.8114433288574219,0.07083106190198696,0.03671584198935942,zijinshan,2753.186100999301,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,brightness,3,2024_omap_2024_000059,0.85
